time,potValue,sensorValue
1,0,470
202,0,470
404,0,470
606,0,470
806,0,470
1008,0,470
1210,0,470
1412,0,470
1613,0,470
1815,0,470
2017,0,470
2219,0,470
2420,0,470
2622,0,470
2824,0,470
3025,5,470
3227,193,470
3429,287,470
3631,341,470
3832,366,471
4034,383,470
4236,390,470
4438,390,470
4639,390,470
4841,389,471
5043,388,470
5245,388,470
5447,388,470
5649,388,471
5851,388,471
6052,388,471
6254,388,471
6456,388,471
6658,388,472
6859,388,471
7061,388,471
7263,388,471
7464,388,471
7666,388,472
7868,388,472
8070,388,472
8271,388,472
8473,388,472
8675,388,473
8878,388,472
9079,388,473
9281,388,473
9483,388,473
9684,387,473
9886,388,473
10088,387,473
10290,388,473
10491,387,473
10693,388,473
10895,387,473
11097,387,474
11298,387,474
11501,387,474
11703,387,474
11905,388,474
12106,388,474
12308,387,474
12510,388,474
12711,387,475
12913,387,475
13115,388,475
13317,387,475
13519,388,475
13721,387,475
13923,387,475
14125,387,476
14326,387,475
14528,387,475
14730,388,476
14931,387,476
15133,387,476
15335,387,476
15538,388,476
15739,387,476
15941,387,476
16143,388,476
16345,387,476
16546,387,476
16748,387,476
16950,387,476
17152,387,476
17353,387,477
17556,387,476
17758,387,477
17959,388,477
18161,387,477
18363,388,477
18565,388,477
18766,388,477
18968,387,477
19170,387,477
19372,387,477
19574,388,477
19776,387,477
19978,387,477
20179,387,477
20381,387,477
20583,387,477
20785,387,477
20986,387,477
21188,387,478
21391,387,478
21593,387,478
21794,388,478
21996,387,478
22198,387,478
22400,387,478
22601,387,478
22803,388,478
23005,387,478
23206,387,478
23409,387,478
23611,388,478
23813,387,478
24014,387,478
24216,387,478
24418,388,478
24620,387,479
24821,387,478
25023,388,478
25225,388,479
25427,387,479
25629,388,479
25831,387,479
26033,388,479
26234,387,479
26436,387,479
26638,387,479
26840,387,479
27041,387,479
27243,387,480
27446,387,479
27648,388,479
27849,387,479
28051,388,480
28253,387,479
28454,388,480
28656,387,479
28858,387,479
29060,387,480
29261,387,480
29464,387,480
29666,387,480
29868,388,480
30069,388,480
30271,388,480
30473,387,480
30674,387,480
30876,388,480
31078,387,480
31280,387,480
31482,388,480
31684,387,480
31886,387,480
32088,388,480
32289,387,480
32491,387,480
32693,387,480
32894,387,480
33096,387,481
33298,387,480
33501,387,481
33702,387,481
33904,387,481
34106,387,481
34308,387,481
34509,387,481
34711,388,481
34913,387,480
35115,388,481
35316,387,481
35519,388,481
35721,387,481
35922,387,481
36124,387,481
36326,387,481
36528,387,481
36729,388,481
36931,387,481
37133,387,481
37335,387,481
37537,387,481
37739,387,481
37941,387,481
38142,387,481
38344,387,481
38546,387,481
38748,387,481
38949,387,481
39151,387,481
39353,387,481
39556,387,481
39757,387,481
39959,387,481
40161,437,481
40363,514,481
40564,587,481
40766,638,481
40968,700,481
41169,834,481
41371,938,481
41573,987,481
41776,1023,481
41977,1023,481
42179,1023,482
42381,1023,481
42583,1023,482
42784,1023,482
42986,1023,482
43189,1023,482
43390,1023,482
43592,1023,482
43794,1023,482
43996,1023,483
44197,1023,483
44399,1023,483
44602,1023,483
44804,1023,483
45005,1023,484
45207,1023,484
45409,1023,484
45611,1023,484
45812,1023,484
46015,1023,484
46217,1023,485
46418,1023,485
46620,1023,485
46822,1023,485
47024,1023,485
47226,1023,486
47428,1023,486
47630,1023,486
47832,1023,486
48033,1023,486
48235,1023,486
48437,1023,486
48640,1023,487
48841,1023,487
49043,1023,487
49245,1023,487
49446,1023,487
49648,1023,488
49850,1023,488
50053,1023,488
50254,1023,488
50456,1023,489
50658,1023,489
50860,1023,489
51061,1023,489
51263,1023,489
51466,1023,489
51667,1023,489
51869,1023,489
52071,1023,490
52273,1023,490
52474,1023,490
52676,1023,490
52879,1023,490
53081,1023,490
53282,1023,491
53484,1023,490
53686,1023,491
53888,1023,491
54089,1023,491
54292,1023,491
54494,1023,491
54695,1023,491
54897,1023,491
55099,1023,492
55301,1023,492
55502,1023,492
55705,1023,492
55907,1023,492
56109,1023,493
56310,1023,493
56512,1023,493
56714,1023,493
56915,1023,493
57118,1023,493
57320,1023,493
57522,1023,493
57723,1023,493
57925,1023,494
58127,1023,494
58329,1023,494
58531,1023,494
58733,1023,494
58935,1023,494
59137,1023,494
59338,1023,495
59540,1023,495
59742,1023,495
59944,1023,495
60146,1023,495
60348,1023,495
60550,1023,496
60751,1023,495
60953,1023,496
61155,1023,496
61358,1023,495
61559,1023,496
61761,1023,496
61963,1023,496
62164,1023,496
62366,1023,496
62568,1023,496
62771,1023,496
62972,1023,496
63174,1023,497
63376,1023,497
63578,1023,497
63779,1023,497
63981,1023,497
64184,1023,497
64386,1023,497
64587,1023,497
64789,1023,497
64991,1023,498
65192,1023,497
65394,1023,498
65597,1023,497
65799,1023,498
66000,1023,498
66202,1023,498
66404,1023,498
66606,1023,498
66807,1023,498
67010,1023,498
67212,1023,498
67414,1023,498
67615,1023,498
67817,1023,498
68019,1023,498
68220,1023,498
68423,1023,498
68625,1023,498
68827,1023,498
69028,1023,498
69230,1023,499
69432,1023,499
69634,1023,498
69836,1023,499
70038,1023,499
70240,1023,499
70441,1023,499
70643,1023,499
70845,1023,499
71047,1023,499
71249,1023,499
71451,1023,499
71653,1023,499
71855,1023,500
72056,1023,499
72258,1023,499
72460,1023,499
72663,1023,499
72864,1023,499
73066,1023,500
73268,1023,500
73469,1023,500
73671,1023,500
73874,1023,500
74076,1023,500
74277,1023,500
74479,1023,500
74681,1023,500
74883,1023,500
75084,1023,500
75287,1023,500
75489,1023,500
75691,1023,500
75892,1023,500
76094,1023,500
76296,1023,500
76497,1023,500
76700,1023,501
76902,1023,500
77104,1023,500
77305,1023,500
77507,1023,500
77709,1023,500
77911,1023,500
78113,1023,500
78315,1023,500
78517,1023,500
78718,1023,500
78920,1023,500
79122,1023,500
79324,1023,500
79526,1023,500
79728,1023,500
79930,1023,500
80132,1021,500
80333,932,500
80535,822,500
80737,732,500
80939,685,500
81140,638,500
81343,586,500
81545,535,500
81746,489,500
81948,487,499
82150,487,500
82352,487,500
82553,487,500
82755,488,499
82957,488,499
83159,488,500
83361,488,499
83563,488,499
83765,488,499
83966,488,499
84168,488,499
84370,488,499
84572,488,499
84773,488,498
84975,488,498
85177,489,498
85379,489,498
85581,489,498
85783,489,498
85985,489,498
86187,489,498
86388,489,497
86590,490,497
86792,489,497
86993,489,497
87195,489,497
87397,489,497
87599,489,497
87801,489,497
88003,490,497
88205,489,497
88407,489,496
88608,490,497
88810,490,496
89012,489,496
89213,489,496
89415,489,496
89617,489,496
89820,490,496
90021,489,496
90223,489,496
90425,489,496
90627,489,496
90828,489,496
91030,490,496
91232,490,496
91433,489,496
91635,489,496
91837,490,496
92040,489,495
92241,489,495
92443,489,495
92645,489,495
92847,490,495
93048,490,495
93250,490,495
93452,490,495
93654,489,494
93855,489,494
94058,490,494
94260,489,494
94461,489,494
94663,490,494
94865,489,494
95067,490,494
95268,490,494
95470,490,494
95672,490,494
95874,490,493
96076,489,493
96278,489,493
96480,490,493
96681,490,493
96883,489,493
97085,490,494
97287,490,493
97488,490,493
97690,490,493
97892,490,493
98094,489,493
98296,490,493
98498,489,493
98700,489,493
98902,490,493
99103,489,492
99305,490,493
99507,490,493
99708,490,493
99910,490,493
100112,489,493
100315,490,493
100516,490,492
100718,489,493
100920,490,492
101122,489,492
101323,490,492
101525,490,492
101728,489,492
101929,490,493
102131,490,492
102333,490,492
102535,490,492
102736,490,492
102938,489,492
103140,490,492
103343,489,492
103544,490,492
103746,489,492
103948,490,492
104150,490,492
104351,489,492
104553,490,492
104756,489,492
104957,489,492
105159,489,492
105361,490,492
105563,489,492
105764,489,491
105966,490,491
106169,490,492
106371,490,491
106572,490,491
106774,490,491
106976,492,491
107177,490,491
107379,450,491
107582,374,491
107784,238,491
107985,67,491
108187,0,491
108389,0,490
108591,0,490
108792,0,490
108994,0,490
109196,0,490
109398,0,490
109599,0,490
109801,0,489
110003,0,489
110204,0,489
110406,0,489
110608,0,489
110811,0,489
111012,0,489
111214,0,489
111416,0,488
111618,0,488
111819,0,488
112021,0,488
112223,0,488
112424,0,488
112626,0,488
112828,0,487
113030,0,487
113231,0,487
113433,0,487
113635,0,487
113837,0,487
114038,0,487
114240,0,487
114442,0,487
114643,0,486
114846,0,486
115048,0,486
115250,0,486
115451,0,486
115653,0,486
115855,0,486
116057,0,485
116258,0,485
116460,0,485
116662,0,485
116864,0,485
117065,0,485
117267,0,485
117469,0,484
117670,0,484
117872,0,484
118074,0,484
118276,0,484
118477,0,484
118679,0,484
118882,0,484
119084,0,483
119285,0,483
119487,0,483
119689,0,483
119890,0,483
120092,0,483
120294,0,483
120496,0,483
120697,0,482
120899,0,482
121101,0,482
121303,0,482
121504,0,482
121706,0,482
121908,0,482
122109,0,482
122311,0,481
122513,0,481
122716,0,481
122917,0,481
123119,0,481
123321,0,481
123523,0,481
123724,0,481
123926,0,481
124128,0,481
124329,0,480
124531,0,480
124733,0,480
124935,0,481
125136,0,481
125338,0,480
125540,0,481
125742,0,480
125943,0,480
126145,0,480
126347,0,480
126548,0,480
126751,0,480
126953,0,480
127155,0,480
127356,0,480
127558,0,480
127760,0,480
127962,0,479
128163,0,480
128365,0,479
128567,0,479
128769,0,479
128970,0,479
129172,0,479
129374,0,479
129575,0,479
129777,0,479
129979,0,479
130181,0,479
130382,0,479
130584,0,478
130786,0,478
130989,0,478
131190,0,478
131392,0,478
131594,0,478
131795,0,478
131997,0,478
132199,0,478
132401,0,478
132602,0,478
132804,0,478
133006,0,478
133208,0,478
133409,0,478
133611,0,478
133813,0,478
134014,0,477
134216,0,478
134418,0,478
134620,0,478
134822,0,477
135024,0,477
135226,0,477
135428,0,477
135629,0,477
135831,0,477
136033,0,477
136235,0,477
136436,0,477
136638,0,477
136840,0,477
137041,0,477
137243,0,477
137445,0,477
137647,0,477
137848,0,477
138050,0,477
138252,0,477
138454,0,477
138656,0,477
138858,0,477
139060,0,477
139261,0,477
139463,0,477
139665,0,477
139867,0,477
140068,0,477
